source_id,authors,title,year,publication,doi_or_url,source_type,research_area,method,dataset,vehicle,fault_type,uncertainty_method,evaluation_metrics,key_result,limitation,relevance_to_AURA,possible_gap,verification
LIT-0001,Zhang et al. (review),A Review of Research on Diagnosability of Control Systems Based on Structural Analysis,2023,Applied Sciences 13(22):12241,https://doi.org/10.3390/app132212241,review,structural-diagnosability,structural analysis,none,generic,generic,none,isolability matrices,Structural analysis yields detectability/isolability properties without exact parameters,Structural results are necessary-not-sufficient; ignore numerical sensitivity,Supplies analytic ground truth for which fault pairs are indistinguishable,Structural isolability is rarely used as ground truth to validate learned uncertainty,SEARCH_METADATA
LIT-0002,Frisk E.; Krysander M.,Fault Diagnosis Toolbox (MATLAB/Python),2024,Software (Linkoping University),https://faultdiagnosistoolbox.github.io/,software,structural-diagnosability,structural analysis; residual generator design; sensor placement,none,generic DAE models,generic,none,isolability matrices,Open toolbox computes isolability matrices; MSO sets; residual generators; sensor placement,Requires a DAE model; structural only; license not yet confirmed,Direct candidate tool for AURA diagnosability ground truth,None (tool),FETCH_VERIFIED
LIT-0003,Jung D.; Frisk E.; Krysander M.,Residual selection for fault detection and isolation using convex optimization,2019,Automatica,https://www.sciencedirect.com/science/article/abs/pii/S0005109818303960,journal,model-based-FDI,convex optimization residual selection,simulation,generic/engine,sensor+process,none,FAR; MDR; isolability,Residual set selection can be posed as convex optimization under isolability constraints,Assumes residual performance characterizations available,Baseline design method for AURA residual bank,Selection ignores epistemic uncertainty of learned residuals,SEARCH_METADATA
LIT-0004,Mohammadi A.; Krysander M.; Jung D.; Frisk E.,Probabilistic Machine Learning for Uncertainty-Aware Diagnosis of Industrial Systems,2025,arXiv:2509.18810,https://arxiv.org/abs/2509.18810,preprint,uncertainty-aware-diagnosis,ensemble probabilistic NN; adaptive thresholding; consistency-based diagnosis,two-tank; SCR; turbocharged engine,industrial (not aircraft),sensor; leakage; clogging,ensemble PNN; aleatoric/epistemic split,S_FA; S_MD; p_FA; p_MD; p_D,Epistemic uncertainty flags OOD and reduces false alarms while retaining detection,Gaussian assumption; ensemble members not independent; OOD flag can MASK real faults when operating shift and fault co-occur,CLOSEST PRIOR WORK to AURA; primary novelty threat AND a required baseline,Their own stated limitation (shift/fault confounding) is unquantified and untested on aircraft,FETCH_VERIFIED
LIT-0005,Xiao Y. et al.,Evaluating calibration of deep fault diagnostic models under distribution shift,2025,Computers in Industry,https://strathprints.strath.ac.uk/95306/7/Xiao-etal-2025-Evaluating-calibration-of-deep-fault-diagnostic-models-under-distribution-shift.pdf,journal,uncertainty-calibration,comparison of UQ methods,rotating machinery benchmarks,rotating machinery,mechanical,deep ensembles; MC dropout; temperature scaling,ECE; accuracy under shift,Calibration degrades monotonically with shift; good ID calibration does not imply good shifted calibration; deep ensembles most robust,Rotating machinery only; no dynamics/state-estimation coupling; ECE-centric,Direct methodological template but in the wrong domain,Result never replicated in a flight-dynamics setting with model-based residuals,SEARCH_METADATA
LIT-0006,Zhou T. et al.,Out-of-distribution detection-assisted trustworthy machinery fault diagnosis approach with uncertainty-aware deep ensembles,2022,Reliability Engineering & System Safety,https://www.sciencedirect.com/science/article/abs/pii/S0951832022002836,journal,uncertainty-aware-diagnosis,deep ensembles + OOD detection,machinery benchmarks,rotating machinery,mechanical,deep ensembles,OOD AUROC; accuracy,OOD-assisted ensembles improve trustworthiness of diagnosis,Non-aerospace; unseen classes and unseen conditions conflated,Template for OOD-assisted diagnosis,Does not separate ambiguity from novelty,SEARCH_METADATA
LIT-0007,Li H.; Jiao J.; Liu Z.; Lin J.; Zhang T.; Liu H.,Trustworthy Bayesian deep learning framework for uncertainty quantification and confidence calibration: Application in machinery fault diagnosis,2024,Reliability Engineering & System Safety,https://www.sciencedirect.com/science/article/abs/pii/S0951832024007282,journal,uncertainty-calibration,Bayesian deep learning,machinery benchmarks,rotating machinery,mechanical,Bayesian NN; calibration,ECE; NLL; accuracy,Joint aleatoric/epistemic/distributional characterisation improves calibration,Non-aerospace; simulated shift,Uncertainty taxonomy directly reusable,Distributional uncertainty not validated against analytic ground truth,SEARCH_METADATA
LIT-0008,(authors not verified),An uncertainty-informed framework for trustworthy fault diagnosis in safety-critical applications,2022,Reliability Engineering & System Safety,https://www.sciencedirect.com/science/article/abs/pii/S0951832022004823,journal,uncertainty-aware-diagnosis,uncertainty-informed decision framework,industrial,industrial,generic,epistemic/aleatoric,risk metrics,Uncertainty information can gate diagnostic trust in safety-critical settings,Non-aerospace,Framing precedent for uncertainty-gated decisions,Decision layer not evaluated against an explicit cost model,TITLE_URL_ONLY
LIT-0009,Ovadia Y.; Fertig E.; Ren J.; Nado Z.; Sculley D.; Nowozin S.; Dillon J.; Lakshminarayanan B.; Snoek J.,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,2019,NeurIPS 2019 / arXiv:1906.02530,https://arxiv.org/abs/1906.02530,conference,uncertainty-calibration,large-scale benchmark of UQ methods,image/text benchmarks,n/a,n/a,ensembles; MC dropout; SVI; temperature scaling,ECE; Brier; NLL; accuracy under shift,Post-hoc calibration fails under shift; ensembles degrade most gracefully,No dynamical systems; no decision layer,Canonical reference establishing that ID calibration does not transfer,No physically-structured analogue in aerospace diagnosis,SEARCH_METADATA
LIT-0010,Nixon J.; Dusenberry M.; Zhang L.; Jerfel G.; Tran D.,Measuring Calibration in Deep Learning,2019,CVPR Workshops / arXiv:1904.01685,https://arxiv.org/pdf/1904.01685,workshop,uncertainty-calibration,calibration metric analysis,image benchmarks,n/a,n/a,n/a,ECE variants,ECE is binning-sensitive and has documented pathologies,Metric critique only,Forces AURA to avoid ECE-only evaluation,n/a,SEARCH_METADATA
